Date|Open|High|Low|Close|Adj Close|Volume|Stock Return
2018-04-25| 110.27 | 110.53 | 108.60 | 109.99 | 106.189575 | 13,548,200 | (0.003811)
2018-04-26| 109.97 | 110.82 | 109.34 | 110.10 | 106.295769 | 10,299,500 | 0.001000 
2018-04-27| 109.55 | 110.16 | 109.13 | 109.40 | 105.619957 | 9,384,000 | (0.006378)
2018-04-30| 109.75 | 110.30 | 108.75 | 108.78 | 105.021385 | 13,744,900 | (0.005683)
2018-05-01| 108.45 | 108.97 | 107.54 | 108.78 | 105.021385 | 10,503,400 | -   
2018-05-02| 108.11 | 109.49 | 107.73 | 107.92 | 104.191086 | 12,162,100 | (0.007937)
2018-05-03| 107.59 | 107.77 | 105.18 | 107.24 | 103.534592 | 15,379,100 | (0.006321)
2018-05-04| 106.43 | 108.74 | 105.98 | 108.43 | 104.683472 | 11,967,900 | 0.011035 
2018-05-07| 108.76 | 109.68 | 108.36 | 109.37 | 105.590996 | 9,356,700 | 0.008632 
2018-05-08| 109.53 | 111.34 | 109.28 | 110.99 | 107.155022 | 12,543,200 | 0.014703 
2018-05-09| 111.44 | 113.64 | 111.03 | 113.41 | 109.491402 | 11,368,100 | 0.021569 
2018-05-10| 113.19 | 114.44 | 112.75 | 114.29 | 110.341003 | 9,159,700 | 0.007730 
2018-05-11| 114.49 | 114.73 | 113.67 | 113.86 | 109.925850 | 10,253,000 | (0.003770)
2018-05-14| 114.11 | 114.70 | 113.74 | 113.90 | 109.964478 | 8,710,700 | 0.000351 
2018-05-15| 113.91 | 113.91 | 112.57 | 113.03 | 109.124519 | 11,536,200 | (0.007668)
2018-05-16| 112.89 | 113.69 | 112.63 | 113.34 | 109.423813 | 7,571,100 | 0.002739 
2018-05-17| 113.20 | 113.41 | 112.20 | 112.96 | 109.056946 | 8,617,200 | (0.003358)
2018-05-18| 112.75 | 112.80 | 110.84 | 111.13 | 107.290176 | 11,806,300 | (0.016333)
2018-05-21| 112.05 | 112.54 | 111.92 | 112.15 | 108.274940 | 9,441,900 | 0.009137 
2018-05-22| 112.35 | 114.29 | 112.29 | 113.01 | 109.105217 | 11,507,600 | 0.007639 
2018-05-23| 112.51 | 112.77 | 111.12 | 112.49 | 108.603188 | 11,453,900 | (0.004612)
2018-05-24| 112.14 | 112.15 | 110.12 | 111.23 | 107.386726 | 14,084,800 | (0.011264)
2018-05-25| 110.46 | 111.08 | 110.20 | 110.66 | 106.836433 | 8,283,500 | (0.005138)
2018-05-29| 109.18 | 109.20 | 104.96 | 105.93 | 102.269859 | 30,643,800 | (0.043684)
2018-05-30| 107.64 | 108.60 | 106.65 | 108.35 | 104.606239 | 17,490,800 | 0.022588 
2018-05-31| 107.95 | 108.19 | 106.42 | 107.01 | 103.312538 | 19,808,200 | (0.012444)
2018-06-01| 108.34 | 108.94 | 107.80 | 108.40 | 104.654510 | 13,594,200 | 0.012906 
2018-06-04| 108.99 | 109.26 | 108.27 | 108.45 | 104.702782 | 9,415,400 | 0.000461 
2018-06-05| 108.24 | 108.31 | 107.07 | 107.84 | 104.113853 | 10,415,200 | (0.005641)
